piece_name,H1,H4,GS
0.mid,2.376751418661958,2.9656726471449915,0.81484375
1.mid,2.289978708654279,2.8173451979039825,0.65765625
10.mid,2.519210136695704,2.8108020369205478,0.72278125
100.mid,2.5165977236202806,2.970768655553294,0.7
101.mid,2.2279985440308683,2.6152789167905928,0.7481875
102.mid,2.0795680040207523,2.6506607462862815,0.86259375
103.mid,2.306853127341437,2.614450991552677,0.7422208392603129
104.mid,2.0909511697056224,2.7112259793406652,0.7228125
105.mid,2.2608961266191514,2.6746288496717994,0.7670168067226891
106.mid,2.250243333899921,2.8105091916186056,0.81278125
107.mid,1.9229859765304547,2.6687654860160808,0.76921875
108.mid,2.167177045708791,2.449792978989899,0.7516875
109.mid,2.1003147075778847,2.5047581816991618,0.7914375
11.mid,1.9007194784633128,2.34508780228301,0.84159375
110.mid,2.5827049426392055,3.014828920839868,0.6493226600985221
12.mid,2.146309311330074,2.7292929432201354,0.63371875
13.mid,1.9812959100229643,2.4159947516393867,0.70840625
14.mid,2.020339117160859,2.690732150246344,0.64678125
15.mid,2.164265506545162,2.6397345499469425,0.728
16.mid,1.7987693087623464,2.291728529175448,0.841125
17.mid,1.9862697252758008,2.6859065167308906,0.819625
18.mid,2.2879039488294426,2.7691071775481637,0.68946875
19.mid,2.2399066513032557,2.826362951318126,0.7315127627627628
2.mid,2.044044302881906,2.646407810333474,0.69571875
20.mid,1.8406796021761953,2.5638113096836075,0.6339375
21.mid,2.2104604056968062,2.7798422305752086,0.7800184729064039
22.mid,2.1435229227439296,2.551405196895771,0.5821635472370766
23.mid,2.321959886251979,2.8808139800930137,0.67715625
24.mid,2.10733146212535,2.516880983546066,0.661
25.mid,2.126874247074381,2.657945658304617,0.7453125
26.mid,2.0965214781421126,2.672439328653018,0.78265625
27.mid,1.9919759593616404,2.326426517221338,0.7451388888888889
28.mid,2.249374632771125,2.773633971414788,0.6014375
29.mid,2.3306960013707374,2.7638499555168643,0.716375
3.mid,1.655724220809066,2.3820726190318866,0.84928125
30.mid,2.3418886948456907,2.818013630396694,0.67996875
31.mid,2.0710604113621174,2.5548900759759325,0.7375625
32.mid,2.208922352739112,2.648854700130702,0.626375
33.mid,2.226561222772796,2.7446329865495955,0.70840625
34.mid,2.223256086995935,2.699431787581562,0.6836875
35.mid,1.9737049907951927,2.576794202690822,0.68940625
36.mid,2.1508521647076035,2.7280580132222516,0.6771875
37.mid,2.048303801520416,2.584398169035887,0.82775
38.mid,2.139200575149623,2.740358279899524,0.8743055555555556
39.mid,2.3448751812027946,2.7629298630682055,0.73578125
4.mid,2.116047435342894,2.7178225028777026,0.8355182926829269
40.mid,2.2937212333783923,2.6676074797321734,0.69896875
41.mid,2.032377986557692,2.6813678060217048,0.5989375
42.mid,2.165384002023857,2.763353774346483,0.6848290598290598
43.mid,2.1698585667282972,2.66054405677927,0.7899774774774775
44.mid,2.2630826821316825,2.8069505092217044,0.74140625
45.mid,2.29672345927341,2.7422409866715705,0.67384375
46.mid,2.1936236353046836,2.545481245131181,0.7108125
47.mid,2.204870208367624,2.7916090317252222,0.8076875
48.mid,2.315057733713932,2.723237164975341,0.7584603658536585
49.mid,2.4543018846433737,2.7589102457150254,0.73484375
5.mid,1.9061244174422707,2.580074423631699,0.69990625
50.mid,2.321000298445998,2.778449970546808,0.627625
51.mid,2.12674438829959,2.739367783142698,0.75471875
52.mid,2.179282784585246,2.62315047871784,0.68440625
53.mid,2.1023170726913105,2.578729261229388,0.6918125
54.mid,2.172651515721165,2.710144583812776,0.7335
55.mid,1.86021284341667,2.4146624230433664,0.71784375
56.mid,2.206030274917217,2.639696973025051,0.656375
57.mid,2.3207942951186586,2.7070347440105405,0.7621875
58.mid,2.0762444476272313,2.513975678049339,0.77909375
59.mid,2.196681031145314,2.607773987245198,0.75178125
6.mid,2.247148609905086,2.76160211363834,0.7895625
60.mid,2.1210750485612544,2.55658583068362,0.770625
61.mid,2.060679072730543,2.696576241044848,0.72396875
62.mid,2.17618119038615,2.6058987763601027,0.63065625
63.mid,2.4639549210337908,2.7241605399784516,0.65375
64.mid,2.083360144333475,2.6223873761497507,0.71028125
65.mid,2.1705679810472214,2.446717602362424,0.7610241820768137
66.mid,2.068644385713453,2.5902334493390087,0.7172123015873015
67.mid,2.338153954145072,2.6642826355598195,0.76775
68.mid,2.247372756675529,2.6961428447240667,0.74125
69.mid,2.0308198822980263,2.6049841108422673,0.70771875
7.mid,2.1255993155097372,2.590228629670056,0.64521875
70.mid,2.4094634717937313,2.8435790341049185,0.724375
71.mid,2.281965700135768,2.556379108395782,0.75415625
72.mid,2.0820991789186065,2.6077863727879125,0.763875
73.mid,2.451854829654821,2.850826133826725,0.7889470443349754
74.mid,2.02245263872113,2.6113452833057402,0.6983125
75.mid,2.031618209255821,2.639935667274216,0.66609375
76.mid,2.222236485435157,2.665854911838072,0.631
77.mid,2.0341527415576643,2.6181628277777302,0.83634375
78.mid,2.1661776801495782,2.7933610299403933,0.6834375
79.mid,2.1260764764470856,2.6221207078362916,0.53721875
8.mid,2.097655013328355,2.585317730622303,0.6864375
80.mid,2.179640589179084,2.5892498695805686,0.7109375
81.mid,2.397945857988007,2.7894105312488104,0.7026875
82.mid,1.8858100690226076,2.462837455408954,0.885875
83.mid,1.9948588366295812,2.336800967895582,0.70209375
84.mid,2.349805418145854,2.836906132771568,0.6467770034843205
85.mid,2.336295171931779,2.718153432639774,0.728
86.mid,2.0987160065220642,2.7219053052821143,0.69865625
87.mid,2.203234253690336,2.5172684396026055,0.822875
88.mid,2.136566620132736,2.746861827903123,0.646125
89.mid,1.993834433698295,2.479186589343256,0.7724375
9.mid,1.903930046393068,2.5465714576527216,0.856625
90.mid,2.3163979851870784,2.836283523855235,0.659625
91.mid,2.400453304815515,2.7503586781031455,0.7510121457489879
92.mid,2.094186744332077,2.8626186321084073,0.58953125
93.mid,2.1265729975512606,2.5159538149835328,0.70753125
94.mid,2.483835477216462,2.808848323811916,0.6076875
95.mid,2.049884328876114,2.62735052480404,0.78803125
96.mid,2.428658360631349,2.934288986463886,0.67365625
97.mid,2.2929276374327037,2.6583418594737855,0.7762320044296789
98.mid,2.1899561886803234,2.650890619393188,0.62403125
99.mid,2.0391653174913764,2.636899593768328,0.673
